iter	Passed	Remaining
0	1	101
1	1	90
2	2	83
3	3	76
4	3	73
5	4	70
6	5	68
7	5	66
8	6	65
9	7	65
10	8	64
11	8	63
12	9	62
13	10	61
14	10	61
15	11	60
16	12	59
17	12	58
18	13	58
19	14	57
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	47
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	73	0
99	73	0
