iter	Passed	Remaining
0	152	152150
1	153	76400
2	153	51127
3	154	38482
4	155	30892
5	155	25838
6	156	22230
7	157	19516
8	158	17405
9	158	15705
10	159	14323
11	159	13170
12	160	12190
13	161	11349
14	161	10619
15	162	9980
16	162	9419
17	163	8917
18	164	8469
19	164	8066
20	165	7701
21	165	7368
22	166	7067
23	167	6792
24	167	6541
25	168	6311
26	169	6095
27	169	5898
28	170	5709
29	171	5533
30	171	5374
31	172	5225
32	173	5082
33	174	4946
34	174	4818
35	175	4697
36	176	4581
37	176	4474
38	177	4370
39	178	4272
40	178	4179
41	179	4089
42	180	4006
43	180	3926
44	181	3848
45	182	3774
46	182	3703
47	183	3634
48	183	3568
49	184	3505
50	185	3446
51	185	3390
52	186	3338
53	187	3285
54	188	3232
55	188	3183
56	189	3134
57	190	3086
58	190	3042
59	191	2997
60	192	2957
61	192	2915
62	193	2874
63	193	2835
64	194	2799
65	195	2763
66	195	2728
67	196	2693
68	197	2659
69	197	2626
70	198	2594
71	198	2562
72	199	2532
73	200	2502
74	200	2475
75	201	2448
76	201	2420
77	202	2394
78	203	2369
79	203	2345
80	204	2320
81	205	2297
82	205	2270
83	206	2248
84	206	2226
85	207	2204
86	208	2185
87	208	2164
88	209	2144
89	210	2123
90	210	2103
91	211	2084
92	211	2065
93	212	2046
94	212	2028
95	213	2010
96	214	1992
97	214	1975
98	215	1958
99	216	1944
100	216	1929
101	217	1914
102	218	1899
103	218	1884
104	219	1869
105	219	1854
106	220	1841
107	221	1827
108	222	1815
109	222	1801
110	223	1787
111	223	1774
112	224	1761
113	225	1749
114	225	1736
115	226	1724
116	226	1711
117	227	1700
118	228	1688
119	228	1676
120	229	1667
121	229	1655
122	230	1644
123	231	1634
124	231	1623
125	232	1613
126	233	1602
127	233	1592
128	234	1582
129	235	1573
130	235	1563
131	236	1553
132	236	1544
133	237	1535
134	238	1525
135	238	1516
136	239	1507
137	240	1499
138	240	1490
139	241	1481
140	241	1472
141	242	1462
142	242	1454
143	243	1445
144	243	1437
145	244	1429
146	244	1421
147	245	1413
148	246	1405
149	246	1397
150	247	1390
151	247	1382
152	248	1375
153	248	1367
154	249	1360
155	250	1354
156	250	1347
157	251	1340
158	252	1333
159	252	1326
160	253	1319
161	253	1313
162	254	1306
163	255	1300
164	255	1293
165	256	1287
166	256	1281
167	257	1275
168	258	1269
169	258	1263
170	259	1257
171	259	1251
172	260	1245
173	261	1239
174	261	1233
175	262	1228
176	262	1222
177	263	1217
178	264	1211
179	264	1206
180	265	1201
181	266	1196
182	266	1190
183	267	1185
184	267	1180
185	268	1175
186	269	1170
187	269	1164
188	270	1159
189	270	1154
190	271	1150
191	272	1145
192	272	1140
193	273	1135
194	273	1130
195	274	1126
196	275	1121
197	275	1117
198	276	1112
199	277	1108
200	277	1103
201	278	1100
202	279	1095
203	279	1091
204	280	1087
205	280	1082
206	281	1078
207	282	1074
208	282	1070
209	283	1066
210	283	1061
211	284	1057
212	285	1053
213	285	1049
214	286	1045
215	286	1041
216	287	1037
217	288	1033
218	288	1029
